EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
1	1	1	21.1602	0	2	1	0	0	90	0.317061	
1	2	1	0	0	4	1	0	0	90	0.335971	
45	1	1	223.484	0	2	10	0	0	90	0.317519	
45	2	1	0	0	3	1	0	0	90	0.342134	
45	3	1	0	0	4	10	0	0	90	0.35303	
48	1	1	0	0	4	1	0	0	90	0.317248	
55	1	1	0	0	4	1	0	0	90	0.316947	
72	1	1	267.703	0	1	10	0	0	90	0.326831	
93	1	1	0	0	4	1	0	0	90	0.317111	
100	1	1	0	0	4	1	0	0	90	0.317034	
102	1	1	336.465	0	2	1	0	0	90	0.317068	
102	2	1	0	0	4	1	0	0	90	0.348914	
112	1	1	0	0	4	1	0	0	90	0.317314	
131	1	1	0	0	4	1	0	0	90	0.316904	
132	1	1	0	0	4	1	0	0	90	0.317295	
141	1	1	0	0	4	1	0	0	90	0.317582	
151	1	1	103.865	0	2	10	0	0	90	0.317145	
151	2	1	0	0	4	10	0	0	90	0.318265	
158	1	1	0	0	4	10	0	0	90	0.317085	
179	1	1	99.7073	0	2	10	0	0	90	0.317301	
179	2	1	0	0	4	10	0	0	90	0.343183	
227	1	1	0	0	4	1	0	0	90	0.317436	
249	1	1	339.175	0	2	1	0	0	90	0.317269	
249	2	1	157.546	0	2	1	0	0	90	0.33177	
249	3	1	165.28	0	1	1	0	0	90	0.345914	
250	1	1	0	0	4	1	0	0	90	0.317672	
251	1	1	332.926	0	2	10	0	0	90	0.317282	
251	2	1	0	0	3	1	0	0	90	0.337049	
251	3	1	0	0	4	1	0	0	90	0.352057	
285	1	1	193.849	0	2	10	0	0	90	0.316931	
285	2	1	0	0	4	10	0	0	90	0.317941	
295	1	1	0	0	4	1	0	0	90	0.317299	
317	1	1	0	0	4	1	0	0	90	0.316976	
332	1	1	0	0	4	10	0	0	90	0.31714	
347	1	1	0	0	4	10	0	0	90	0.317239	
365	1	1	160.011	0	2	1	0	0	90	0.316913	
365	2	1	0	0	4	1	0	0	90	0.332203	
371	1	1	0	0	4	10	0	0	90	0.317383	
377	1	1	0	0	4	1	0	0	90	0.317195	
382	1	1	0	0	4	1	0	0	90	0.317148	
396	1	1	0	0	4	10	0	0	90	0.3173	
397	1	1	42.2656	0	2	10	0	0	90	0.316889	
397	2	1	0	0	4	1	0	0	90	0.327887	
