EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
12	1	1	229.254	0	2	8.00184	0	0	90	0.317151	
12	2	1	0	0	4	1.59098	0	0	90	0.323821	
1873	1	1	176.653	0	2	3.30752	0	0	90	0.316982	
1873	2	1	0	0	4	0	0	0	90	0.339312	
1968	1	1	0	0	4	0	0	0	90	0.316996	
2194	1	1	254.566	0	1	1.66607	0	0	90	0.497904	
2381	1	1	0	0	4	0	0	0	90	0.31702	
3015	1	1	454.109	0	2	3.10643	0	0	90	0.31726	
3015	2	1	0	0	4	3.50962	0	0	90	0.340281	
5698	1	1	238.984	0	2	9.2886	0	0	90	0.316947	
5698	2	1	0	0	4	4.84746	0	0	90	0.31932	
6781	1	1	0	0	4	0	0	0	90	0.317215	
10013	1	1	127.308	0	2	1.13142	0	0	90	0.375345	
10013	2	1	0	0	4	0	0	0	90	0.407661	
10060	1	1	121.238	0	2	8.72346	0	0	90	0.329814	
10060	2	1	0	0	4	3.76	0	0	90	0.334163	
11317	1	1	0	0	4	2.97724	0	0	90	0.317564	
13564	1	1	0	0	4	0	0	0	90	0.317224	
14057	1	1	0	0	4	0	0	0	90	0.317047	
14592	1	1	0	0	4	0	0	0	90	0.316978	
14639	1	1	183.161	0	1	8.22975	0	0	90	0.582809	
15816	1	1	0	0	4	0	0	0	90	0.317277	
16275	1	1	0	0	4	0	0	0	90	0.316924	
18462	1	1	0	0	4	0	0	0	90	0.317255	
18822	1	1	19.3988	0	2	9.71048	0	0	90	0.317441	
18822	2	1	207.862	0	2	5.24156	0	0	90	0.318408	
18822	3	1	0	0	4	0	0	0	90	0.333666	
19114	1	1	104.786	0	2	4.64084	0	0	90	0.317039	
19114	2	1	0	0	4	1.11615	0	0	90	0.334924	
26152	1	1	0	0	4	0	0	0	90	0.317086	
26639	1	1	0	0	4	0	0	0	90	0.316928	
27263	1	1	0	0	4	0	0	0	90	0.316961	
27792	1	1	0	0	4	0	0	0	90	0.31718	
28148	1	1	7.92528	0	2	4.35054	0	0	90	0.319971	
28148	2	1	0	0	4	4.30364	0	0	90	0.338988	
28540	1	1	0	0	4	7.11101	0	0	90	0.317309	
29483	1	1	0	0	4	3.71714	0	0	90	0.527049	
31484	1	1	0	0	4	0	0	0	90	0.317198	
36210	1	1	0	0	4	9.65287	0	0	90	0.317445	
36449	1	1	0	0	4	0.657487	0	0	90	0.721335	
39216	1	1	156.019	0	1	3.12235	0	0	90	1.12306	
39289	1	1	303.15	0	2	9.38295	0	0	90	0.317208	
39289	2	1	0	0	4	8.10267	0	0	90	0.319268	
40684	1	1	5.70492	0	2	0.00949159	0	0	90	0.317117	
40684	2	1	0	0	4	0	0	0	90	0.350466	
41130	1	1	0	0	4	0	0	0	90	0.362806	
44610	1	1	662	0	1	5.18268	0	0	90	0.317334	
45629	1	1	0	0	4	0	0	0	90	0.317174	
46384	1	1	0	0	4	0	0	0	90	0.317184	
46498	1	1	0	0	4	0	0	0	90	0.317039	
46633	1	1	0	0	4	0	0	0	90	0.317282	
46725	1	1	0	0	4	0	0	0	90	0.316921	
48135	1	1	0	0	4	0	0	0	90	0.317347	
48297	1	1	23.5648	0	2	1.72703	0	0	90	0.873587	
48297	2	1	149.891	0	1	2.3619	0	0	90	0.885468	
50862	1	1	28.4902	0	2	4.07679	0	0	90	0.993815	
50862	2	1	0	0	4	4.59482	0	0	90	1.00106	
50894	1	1	0	0	4	0	0	0	90	0.317376	
53224	1	1	0	0	4	8.3152	0	0	90	0.339524	
53279	1	1	0	0	4	0	0	0	90	0.317015	
53358	1	1	404.114	0	2	8.65592	0	0	90	0.31727	
53358	2	1	0	0	4	8.866	0	0	90	0.321759	
53881	1	1	444.627	0	2	1.14973	0	0	90	0.317048	
53881	2	1	82.3409	0	2	1.30016	0	0	90	0.346584	
53881	3	1	135.032	0	1	1.02793	0	0	90	0.347491	
55574	1	1	0	0	4	0	0	0	90	0.317026	
56534	1	1	0	0	3	6.14065	0	0	90	0.338405	
56534	2	1	0	0	4	7.83478	0	0	90	0.350784	
58130	1	1	0	0	4	7.28755	0	0	90	0.317393	
59288	1	1	279.859	0	2	3.92559	0	0	90	0.316895	
59288	2	1	222.874	0	2	2.61683	0	0	90	0.337158	
59288	3	1	159.266	0	1	4.84536	0	0	90	0.347259	
