EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
135	1	1	430.752	0	2	4.56819	0	270	90	0.316989	
135	2	1	0	0	4	8.47882	0	270	90	0.341388	
2128	1	1	20.6312	0	2	4.01643	0	270	90	0.317113	
2128	2	1	0	0	4	3.35807	0	270	90	0.340288	
4431	1	1	0	0	4	4.58953	0	270	90	0.317044	
4674	1	1	0	0	4	1.7444	0	270	90	0.317118	
6048	1	1	0	0	4	2.36697	0	270	90	0.317411	
6747	1	1	0	0	4	4.6046	0	270	90	0.333326	
6845	1	1	0	0	4	7.64595	0	270	90	0.658151	
8043	1	1	0	0	4	10	0	270	90	0.317264	
10317	1	1	0	0	4	2.15978	0	270	90	0.317147	
10816	1	1	435.715	0	2	1.90035	0	270	90	0.317114	
10816	2	1	80.4885	0	2	5.46902	0	270	90	0.327966	
10816	3	1	0	0	4	4.58793	0	270	90	0.342072	
10922	1	1	0	0	4	7.7133	0	270	90	0.317015	
11657	1	1	412.79	0	2	2.35675	0	270	90	0.323515	
11657	2	1	186.607	0	1	0.227589	0	270	90	0.351107	
12008	1	1	0	0	4	3.40277	0	270	90	0.317122	
12359	1	1	0	0	4	3.74367	0	270	90	0.432545	
14422	1	1	286.507	0	2	4.57184	0	270	90	0.317178	
14422	2	1	91.6221	0	2	6.04462	0	270	90	0.321295	
14422	3	1	0	0	4	6.04552	0	270	90	0.327525	
14938	1	1	0	0	4	3.16774	0	270	90	0.355449	
16452	1	1	0	0	4	2.12571	0	270	90	0.317418	
16639	1	1	0	0	4	1.13856	0	270	90	0.417793	
16838	1	1	175.79	0	1	0.701408	0	270	90	0.600247	
16949	1	1	0	0	4	4.81382	0	270	90	0.316981	
17874	1	1	0	0	4	6.76049	0	270	90	0.316947	
18941	1	1	0	0	4	10	0	270	90	0.317453	
19501	1	1	0	0	4	6.60158	0	270	90	0.316985	
20304	1	1	186.368	0	2	3.5126	0	270	90	0.317231	
20304	2	1	0	0	4	5.81138	0	270	90	0.334543	
21606	1	1	0	0	4	7.08362	0	270	90	0.317124	
22459	1	1	0	0	4	0.194475	0	270	90	0.317412	
25149	1	1	0	0	4	6.04461	0	270	90	0.316939	
25547	1	1	0	0	4	9.98694	0	270	90	0.317262	
25615	1	1	0	0	4	6.2161	0	270	90	0.317137	
26455	1	1	0	0	4	3.56413	0	270	90	0.316918	
26916	1	1	0	0	4	6.80691	0	270	90	0.317039	
27725	1	1	0	0	4	0.590301	0	270	90	0.317286	
29007	1	1	0	0	4	3.73304	0	270	90	0.317121	
29092	1	1	0	0	4	6.80684	0	270	90	0.317216	
30283	1	1	228.875	0	2	5.2648	0	270	90	0.317136	
30283	2	1	0	0	4	10	0	270	90	0.333012	
33112	1	1	0	0	4	1.43483	0	270	90	0.317253	
33112	2	1	202.454	0	1	2.09045	0	270	90	0.35874	
33571	1	1	0	0	4	10	0	270	90	0.317311	
33594	1	1	0	0	4	8.32527	0	270	90	0.317192	
35497	1	1	0	0	4	0	0	270	90	1.16397	
35770	1	1	0	0	4	6.91962	0	270	90	0.317212	
37226	1	1	662	0	1	1.0504	0	270	90	0.317226	
38218	1	1	0	0	4	4.25972	0	270	90	0.316898	
40253	1	1	0	0	4	4.05163	0	270	90	0.327361	
41456	1	1	0	0	4	4.09575	0	270	90	0.317001	
41795	1	1	0	0	4	1.71076	0	270	90	0.317139	
42168	1	1	0	0	4	6.51466	0	270	90	0.317189	
43026	1	1	0	0	4	3.73507	0	270	90	0.316987	
43764	1	1	0	0	4	4.96613	0	270	90	0.316987	
44495	1	1	381.003	0	2	2.61219	0	270	90	0.317023	
44495	2	1	26.3223	0	2	5.29118	0	270	90	0.318887	
44495	3	1	0	0	4	10	0	270	90	0.329413	
44594	1	1	438.568	0	1	4.2347	0	270	90	0.352696	
45414	1	1	0	0	4	10	0	270	90	0.317351	
45561	1	1	412.179	0	2	7.75661	0	270	90	0.317316	
45561	2	1	0	0	4	8.02354	0	270	90	0.327941	
46086	1	1	0	0	4	5.86752	0	270	90	0.317027	
46447	1	1	0	0	4	7.19431	0	270	90	0.329576	
47396	1	1	0	0	4	1.4254	0	270	90	0.317274	
48133	1	1	0	0	4	5.47103	0	270	90	0.3169	
48296	1	1	0	0	4	4.7168	0	270	90	0.317753	
49652	1	1	168.087	0	2	4.83351	0	270	90	0.317035	
49652	2	1	0	0	4	1.29425	0	270	90	0.323313	
49776	1	1	27.2113	0	2	2.01592	0	270	90	0.31735	
49776	2	1	634.789	0	1	1.2157	0	270	90	0.33753	
50064	1	1	467.823	0	2	7.33205	0	270	90	0.31724	
50064	2	1	194.177	0	1	5.45558	0	270	90	0.349153	
50239	1	1	0	0	4	3.74546	0	270	90	0.357991	
51111	1	1	194.377	0	1	0.534357	0	270	90	1.27584	
51752	1	1	165.269	0	1	3.8236	0	270	90	2.899	
51916	1	1	0	0	4	8.21711	0	270	90	0.423175	
54253	1	1	103.966	0	1	9.87878	0	270	90	0.597428	
54293	1	1	0	0	4	8.34183	0	270	90	0.326775	
54470	1	1	0	0	4	1.46159	0	270	90	0.317074	
54788	1	1	0	0	4	1.22868	0	270	90	0.569732	
54855	1	1	0	0	4	0	0	270	90	0.317542	
55328	1	1	662	0	1	5.24889	0	270	90	0.317258	
56834	1	1	0	0	4	4.44353	0	270	90	0.454845	
56859	1	1	0	0	4	4.60082	0	270	90	0.317021	
57602	1	1	0	0	4	5.26846	0	270	90	0.317076	
58430	1	1	0	0	4	2.75528	0	270	90	0.317313	
58475	1	1	1.69671	0	2	6.62274	0	270	90	0.959533	
58475	2	1	186.279	0	1	4.86712	0	270	90	0.96778	
58532	1	1	0	0	4	8.32126	0	270	90	0.31706	
59613	1	1	199.041	0	1	0.425069	0	270	90	0.885488	
59696	1	1	225.393	0	1	2.91239	0	270	90	0.476304	
63713	1	1	356.672	0	2	7.18297	0	270	90	0.316999	
63713	2	1	0	0	4	7.10722	0	270	90	0.338781	
66767	1	1	0	0	4	2.93893	0	270	90	0.31696	
67001	1	1	0	0	4	2.6689	0	270	90	0.317078	
68318	1	1	0	0	4	6.70828	0	270	90	0.317108	
68556	1	1	0	0	4	8.06255	0	270	90	0.317079	
69474	1	1	0	0	4	9.46351	0	270	90	0.317552	
69543	1	1	156.506	0	2	8.30985	0	270	90	0.317358	
69543	2	1	0	0	4	6.84572	0	270	90	0.328307	
70117	1	1	348.503	0	2	0.88396	0	270	90	0.317246	
70117	2	1	50.8063	0	2	1.3932	0	270	90	0.343638	
70117	3	1	12.5204	0	2	2.84818	0	270	90	0.346387	
70117	4	1	250.17	0	1	2.90894	0	270	90	0.357677	
72610	1	1	82.0234	0	1	3.34622	0	270	90	0.562351	
72665	1	1	0	0	4	6.81129	0	270	90	0.317053	
73039	1	1	0	0	4	0.726399	0	270	90	0.31751	
74609	1	1	13.1426	0	2	2.51749	0	270	90	0.317144	
74609	2	1	0	0	4	3.49836	0	270	90	0.328021	
75212	1	1	0	0	4	6.3667	0	270	90	0.31704	
76417	1	1	0	0	4	0.787701	0	270	90	0.317168	
76693	1	1	0	0	4	2.30213	0	270	90	0.319629	
78680	1	1	207.846	0	2	6.47217	0	270	90	0.316949	
78680	2	1	0	0	4	7.61965	0	270	90	0.321039	
80291	1	1	0	0	4	6.00147	0	270	90	0.484711	
80871	1	1	0	0	4	2.24453	0	270	90	0.316997	
81608	1	1	137.032	0	1	8.76932	0	270	90	0.36123	
83908	1	1	0	0	4	0	0	270	90	0.321498	
86615	1	1	263.194	0	2	4.59507	0	270	90	0.343801	
86615	2	1	10.5006	0	2	4.15287	0	270	90	0.354261	
86615	3	1	196.69	0	1	4.49482	0	270	90	0.360595	
87318	1	1	0	0	4	7.1983	0	270	90	0.317122	
90845	1	1	429.248	0	2	9.50758	0	270	90	0.317332	
90845	2	1	0	0	4	10	0	270	90	0.346799	
91447	1	1	0	0	4	0	0	270	90	0.756436	
92160	1	1	197.017	0	1	5.27712	0	270	90	1.05685	
92892	1	1	0	0	4	10	0	270	90	0.317357	
95046	1	1	5.26443	0	2	6.03199	0	270	90	0.316906	
95046	2	1	0	0	4	5.36917	0	270	90	0.323974	
96564	1	1	0	0	4	3.03219	0	270	90	0.317266	
97808	1	1	0	0	4	3.21073	0	270	90	0.316978	
98875	1	1	0	0	4	4.50431	0	270	90	0.317124	
99855	1	1	0	0	4	0.292963	0	270	90	0.317682	
103736	1	1	0	0	4	4.4077	0	270	90	0.316973	
105011	1	1	0	0	4	1.62477	0	270	90	0.317136	
106518	1	1	0	0	4	5.37752	0	270	90	0.326685	
106691	1	1	463.931	0	2	3.65109	0	270	90	0.317275	
106691	2	1	198.069	0	1	3.47885	0	270	90	0.344813	
107026	1	1	452.61	0	2	5.65404	0	270	90	0.31691	
107026	2	1	0	0	4	10	0	270	90	0.346989	
107757	1	1	270.464	0	1	0.975542	0	270	90	0.355041	
108833	1	1	0	0	4	3.7829	0	270	90	0.317115	
109251	1	1	353.081	0	2	4.10776	0	270	90	0.317281	
109251	2	1	0	0	4	4.1568	0	270	90	0.334426	
110094	1	1	0	0	4	2.37721	0	270	90	0.316991	
110414	1	1	0	0	4	0.862991	0	270	90	0.317133	
110438	1	1	15.4153	0	2	7.83569	0	270	90	0.736771	
110438	2	1	77.1372	0	1	7.87283	0	270	90	0.738625	
110524	1	1	0	0	4	3.30745	0	270	90	0.316961	
111857	1	1	66.7037	0	2	7.25542	0	270	90	0.348214	
111857	2	1	0	0	4	5.96834	0	270	90	0.370508	
117026	1	1	401.256	0	2	2.28024	0	270	90	0.317006	
117026	2	1	260.744	0	1	3.76529	0	270	90	0.330572	
117032	1	1	0	0	4	7.51944	0	270	90	0.316987	
117701	1	1	465.842	0	2	0.850866	0	270	90	0.317151	
117701	2	1	61.0352	0	2	0.816702	0	270	90	0.339973	
117701	3	1	0	0	4	0.357226	0	270	90	0.352795	
118934	1	1	0	0	4	6.62468	0	270	90	0.316962	
119315	1	1	51.1532	0	2	7.63834	0	270	90	0.317017	
119315	2	1	330.412	0	2	8.85791	0	270	90	0.324176	
119315	3	1	280.435	0	1	9.03888	0	270	90	0.335068	
119860	1	1	0	0	4	3.40575	0	270	90	0.316923	
120032	1	1	32.8459	0	2	0.894409	0	270	90	0.578631	
120032	2	1	0	0	3	0.97797	0	270	90	0.586842	
120032	3	1	197.13	0	1	1.76919	0	270	90	0.590168	
120630	1	1	0	0	4	10	0	270	90	0.336538	
121969	1	1	102.578	0	2	8.14086	0	270	90	0.317097	
121969	2	1	0	0	4	9.78099	0	270	90	0.338733	
122167	1	1	64.0511	0	2	0.403889	0	270	90	0.545854	
122167	2	1	178.951	0	1	0.323685	0	270	90	0.556276	
124331	1	1	0	0	4	6.50333	0	270	90	0.316936	
126836	1	1	0	0	4	10	0	270	90	0.317552	
128124	1	1	0	0	4	7.96897	0	270	90	0.317221	
128604	1	1	0	0	4	6.01648	0	270	90	0.317144	
129109	1	1	0	0	4	8.50667	0	270	90	0.317065	
130104	1	1	0	0	4	2.69489	0	270	90	0.316989	
130876	1	1	308.806	0	2	4.58019	0	270	90	0.31719	
130876	2	1	0	0	4	3.35991	0	270	90	0.344153	
130986	1	1	0	0	4	6.65064	0	270	90	0.34425	
131137	1	1	0	0	4	4.07962	0	270	90	0.389415	
131507	1	1	0	0	4	8.81836	0	270	90	0.317851	
131712	1	1	0	0	4	1.72636	0	270	90	0.479482	
132420	1	1	229.335	0	1	8.51361	0	270	90	0.431673	
134349	1	1	0	0	4	4.30639	0	270	90	0.377728	
135942	1	1	0	0	4	6.48796	0	270	90	0.317109	
138869	1	1	450.2	0	2	1.40241	0	270	90	0.317179	
138869	2	1	211.8	0	1	1.028	0	270	90	0.323576	
139642	1	1	0	0	4	6.15556	0	270	90	0.316937	
140161	1	1	0	0	4	1.88093	0	270	90	0.317219	
142168	1	1	0	0	4	7.96109	0	270	90	0.317392	
142784	1	1	662	0	1	4.38054	0	270	90	0.317041	
142833	1	1	145.256	0	2	2.2116	0	270	90	0.317171	
142833	2	1	0	0	4	6.28227	0	270	90	0.331313	
142905	1	1	73.8084	0	2	7.87433	0	270	90	0.317052	
142905	2	1	0	0	4	7.66476	0	270	90	0.333416	
144509	1	1	0	0	4	9.06321	0	270	90	0.317298	
144818	1	1	0	0	4	0.449211	0	270	90	0.420012	
144818	2	1	0	0	4	10	0	270	90	0.452346	
145632	1	1	0	0	4	4.08056	0	270	90	0.403947	
145744	1	1	0	0	4	8.84384	0	270	90	0.317114	
146421	1	1	662	0	1	3.29038	0	270	90	0.316998	
146620	1	1	197.713	0	2	1.70976	0	270	90	0.31707	
146620	2	1	0	0	4	0	0	270	90	0.339173	
147497	1	1	0	0	3	9.42019	0	270	90	0.317365	
147497	2	1	0	0	4	9.42336	0	270	90	0.347036	
148253	1	1	0	0	4	8.60532	0	270	90	0.317232	
149856	1	1	0	0	4	8.9154	0	270	90	0.317208	
150657	1	1	0	0	4	4.50351	0	270	90	0.316953	
150988	1	1	206.64	0	1	1.5732	0	270	90	0.78481	
154072	1	1	433.942	0	2	4.27918	0	270	90	0.316922	
154072	2	1	228.058	0	1	7.8556	0	270	90	0.34174	
154589	1	1	280.008	0	2	6.96261	0	270	90	0.316948	
154589	2	1	0	0	4	10	0	270	90	0.334041	
155393	1	1	0	0	4	6.12928	0	270	90	0.31729	
155642	1	1	0	0	4	2.54303	0	270	90	0.317041	
156783	1	1	0	0	4	0.759662	0	270	90	0.317144	
157409	1	1	0	0	4	9.84771	0	270	90	0.541596	
158306	1	1	0	0	4	6.99596	0	270	90	0.316946	
158592	1	1	0	0	4	3.11035	0	270	90	0.534631	
159179	1	1	0	0	4	4.39574	0	270	90	0.317015	
159406	1	1	0	0	3	9.34996	0	270	90	0.31742	
159406	2	1	0	0	4	9.54018	0	270	90	0.329554	
159704	1	1	0	0	4	0.702612	0	270	90	0.35449	
159870	1	1	84.3466	0	2	0.294381	0	270	90	0.317484	
159870	2	1	0	0	4	1.18735	0	270	90	0.344366	
160818	1	1	0	0	4	3.39207	0	270	90	0.316958	
164029	1	1	0	0	4	4.6012	0	270	90	0.316967	
165311	1	1	0	0	4	6.65903	0	270	90	0.317169	
165422	1	1	0	0	4	10	0	270	90	0.317416	
165445	1	1	0	0	4	8.37191	0	270	90	0.31735	
165508	1	1	0	0	4	3.17583	0	270	90	0.317055	
168101	1	1	0	0	4	8.97785	0	270	90	0.317239	
169334	1	1	178.358	0	2	8.76939	0	270	90	0.317281	
169334	2	1	0	0	4	8.86129	0	270	90	0.335468	
169821	1	1	0	0	4	8.85792	0	270	90	0.317221	
170676	1	1	0	0	4	5.39003	0	270	90	0.317262	
171280	1	1	271.862	0	2	8.88106	0	270	90	0.317116	
171280	2	1	0	0	4	8.66957	0	270	90	0.349924	
172574	1	1	0	0	4	1.1154	0	270	90	0.31723	
174235	1	1	0	0	4	4.95934	0	270	90	0.317137	
174759	1	1	64.6285	0	2	6.30648	0	270	90	2.33488	
