EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
0	1	1	143.792	27	2	7	912	3.12286	
0	2	1	0	27	4	2	912	3.12391	
0	3	1	145.258	60	2	9	912	3.34976	
0	4	1	0	60	4	10	912	3.39193	
4	1	1	0	25	4	5	912	3.20581	
4	2	1	0	24	4	1	912	3.27173	
4	3	1	473.62	23	2	1	912	3.34795	
4	4	1	9.56621	23	2	1	912	3.35298	
4	5	1	0	23	4	1	912	3.35625	
4	6	1	0	10	3	3	912	3.43663	
4	7	1	0	10	4	1	912	3.44682	
5	1	1	0	164	4	10	912	3.5324	
29	1	1	0	103	4	10	912	3.57129	
37	1	1	477.314	129	2	10	912	3.51954	
37	2	1	184.686	129	1	9	912	3.54052	
38	1	1	0	15	4	8	912	3.17563	
41	1	1	0.353108	45	2	2	912	3.08498	
41	2	1	0	45	4	1	912	3.11569	
47	1	1	0	25	4	8	912	3.22251	
55	1	1	0	172	4	10	912	3.29036	
55	2	1	282.919	185	2	10	912	3.33629	
55	3	1	161.869	185	2	5	912	3.33817	
55	4	1	66.1045	185	2	3	912	3.3644	
55	5	1	29.5759	185	2	2	912	3.37649	
55	6	1	121.532	185	1	4	912	3.37759	
58	1	1	0	188	4	2	912	3.39734	
60	1	1	0	60	4	1	912	3.30437	
61	1	1	0	95	4	6	912	3.24669	
62	1	1	0	95	4	10	912	3.24493	
66	1	1	662	41	1	1	912	3.23939	
67	1	1	286.129	110	2	10	912	3.24643	
67	2	1	0	110	4	7	912	3.24993	
69	1	1	0	67	4	1	912	3.08191	
70	1	1	0	52	4	10	912	3.46505	
72	1	1	0	44	4	1	912	3.08692	
72	2	1	0	103	4	10	912	3.54823	
73	1	1	0	108	4	10	912	3.36187	
75	1	1	386.074	172	2	7	912	3.2728	
75	2	1	0	172	4	1	912	3.28298	
83	1	1	0	136	4	1	912	3.20258	
84	1	1	0	44	4	1	912	3.09764	
86	1	1	0	30	4	1	912	3.13577	
89	1	1	192.932	43	2	6	912	3.09505	
89	2	1	0	43	4	1	912	3.10887	
91	1	1	0	129	4	2	912	3.52268	
92	1	1	228.948	35	2	8	912	3.43783	
92	2	1	0	35	4	10	912	3.45373	
100	1	1	0	46	4	1	912	3.10326	
100	2	1	414.718	101	2	9	912	3.55609	
100	3	1	0	101	4	9	912	3.55986	
102	1	1	0	36	4	9	912	3.43565	
103	1	1	0	45	4	1	912	3.08548	
105	1	1	0	15	4	10	912	3.18084	
106	1	1	0	8	4	10	912	3.31727	
108	1	1	98.7745	157	2	3	912	3.23815	
108	2	1	0	157	4	2	912	3.2457	
113	1	1	0	46	4	1	912	3.126	
113	2	1	379.729	101	2	4	912	3.53927	
113	3	1	0	101	4	7	912	3.55315	
116	1	1	662	166	1	8	912	3.51554	
123	1	1	0	114	4	10	912	3.12961	
123	2	1	662	180	1	10	912	3.49114	
124	1	1	0	44	4	1	912	3.0877	
124	2	1	0	103	4	10	912	3.54739	
125	1	1	0	70	4	1	912	3.179	
125	2	1	75.4964	99	2	7	912	3.47145	
125	3	1	0	99	4	9	912	3.50455	
128	1	1	0	110	4	6	912	3.24434	
128	2	1	0	132	4	10	912	3.38475	
131	1	1	81.4802	138	2	6	912	3.15514	
131	2	1	0	138	4	5	912	3.17597	
131	3	1	0	172	4	8	912	3.2852	
138	1	1	0	52	4	5	912	3.46417	
140	1	1	0	24	4	8	912	3.26756	
140	2	1	0	23	4	8	912	3.32738	
141	1	1	0	12	4	1	912	3.17053	
145	1	1	476.192	124	2	9	912	3.53334	
145	2	1	185.808	124	1	8	912	3.5481	
148	1	1	0	106	4	4	912	3.4737	
150	1	1	0	63	4	1	912	3.16669	
156	1	1	413.478	172	2	1	912	3.27514	
156	2	1	0	172	4	1	912	3.30143	
161	1	1	0	116	4	1	912	3.13675	
