EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
60	1	1	470.847	4	2	10	912	0.722524	
60	2	1	0	4	4	10	912	0.730045	
412	1	1	662	4	1	7	912	0.727443	
698	1	1	0	4	4	6	912	0.723547	
851	1	1	2.36023	4	2	8	912	0.720299	
851	2	1	0	4	4	5	912	0.724161	
1183	1	1	0	4	4	4	912	0.724691	
1277	1	1	33.2808	4	2	7	912	0.717831	
1277	2	1	0	4	4	7	912	0.745258	
1506	1	1	0	4	4	1	912	0.724397	
1635	1	1	0	4	4	1	912	0.724747	
1681	1	1	0	4	4	4	912	0.722069	
1997	1	1	0	4	4	5	912	0.718868	
2342	1	1	0	4	4	1	912	0.724731	
2446	1	1	0	4	4	7	912	0.71934	
2747	1	1	0	4	4	8	912	0.723096	
2787	1	1	0	4	4	5	912	0.71884	
2959	1	1	63.9804	4	2	2	912	0.722079	
2959	2	1	0	4	4	1	912	0.748237	
3027	1	1	0	4	4	9	912	0.726129	
3117	1	1	0	4	4	1	912	0.724034	
3209	1	1	0	4	4	7	912	0.724575	
3214	1	1	0	4	4	5	912	0.718969	
3428	1	1	0	4	4	4	912	0.722065	
3482	1	1	0	4	4	3	912	0.722091	
3526	1	1	0	4	4	4	912	0.719141	
3875	1	1	0	4	4	4	912	0.721336	
4060	1	1	0	4	4	10	912	0.742928	
4444	1	1	0	4	4	1	912	0.724001	
4452	1	1	0	4	4	6	912	0.719201	
4474	1	1	0	4	4	4	912	0.721069	
4662	1	1	0	4	4	1	912	0.725451	
4724	1	1	0	4	4	1	912	0.723108	
4887	1	1	0	4	4	1	912	0.724159	
5161	1	1	0	4	4	6	912	0.720307	
5275	1	1	0	4	4	4	912	0.720417	
5366	1	1	52.2242	4	2	4	912	0.719964	
5366	2	1	0	4	3	4	912	0.745134	
5366	3	1	0	4	4	4	912	0.753545	
5752	1	1	366.369	4	2	1	912	0.72318	
5752	2	1	0	4	4	1	912	0.750636	
5794	1	1	151.628	4	2	8	912	0.718123	
5794	2	1	0	4	4	1	912	0.728999	
5832	1	1	0	4	4	10	912	0.745766	
6015	1	1	391.232	4	2	6	912	0.719566	
6015	2	1	0	4	4	10	912	0.740069	
6036	1	1	0	4	4	6	912	0.750722	
6415	1	1	0	4	4	6	912	0.72266	
